Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
WY,Converse County School District #2,5602150,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,31.00,0.00,31.00,12.00,0.00,0.00
WY,Converse County School District #2,5602150,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,1.00,0.00,0.00
WY,Converse County School District #2,5602150,2015,Total enrollment,M,2.00,0.00,2.00,29.00,2.00,307.00,4.00,346.00,52.00,6.00,0.00
WY,Converse County School District #2,5602150,2015,Total enrollment,F,2.00,0.00,0.00,32.00,2.00,274.00,7.00,317.00,25.00,6.00,2.00
WY,Fremont County School District # 6,5602830,2015,School days missed due to out-of-school suspension,M,28.00,0.00,0.00,0.00,0.00,30.00,8.00,66.00,20.00,0.00,0.00
WY,Fremont County School District # 6,5602830,2015,School days missed due to out-of-school suspension,F,9.00,0.00,0.00,0.00,0.00,3.00,0.00,12.00,0.00,0.00,0.00
WY,Fremont County School District # 6,5602830,2015,Total enrollment,M,35.00,0.00,0.00,12.00,2.00,138.00,18.00,205.00,33.00,7.00,2.00
WY,Fremont County School District # 6,5602830,2015,Total enrollment,F,47.00,0.00,0.00,11.00,2.00,134.00,14.00,208.00,21.00,6.00,0.00
WY,Park County School District # 6,5602070,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,5.00,0.00,30.00,0.00,35.00,4.00,0.00,0.00
WY,Park County School District # 6,5602070,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,0.00,23.00,0.00,26.00,6.00,0.00,0.00
WY,Park County School District # 6,5602070,2015,Total enrollment,M,11.00,10.00,4.00,40.00,4.00,995.00,13.00,1077.00,171.00,20.00,4.00
WY,Park County School District # 6,5602070,2015,Total enrollment,F,8.00,11.00,0.00,35.00,4.00,940.00,24.00,1022.00,95.00,11.00,4.00
WY,Park County School District # 1,5605160,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,15.00,5.00,118.00,1.00,139.00,45.00,0.00,0.00
WY,Park County School District # 1,5605160,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,25.00,0.00,26.00,3.00,0.00,0.00
WY,Park County School District # 1,5605160,2015,Total enrollment,M,4.00,4.00,0.00,131.00,13.00,809.00,28.00,989.00,236.00,14.00,22.00
WY,Park County School District # 1,5605160,2015,Total enrollment,F,8.00,6.00,0.00,113.00,6.00,698.00,14.00,845.00,131.00,8.00,25.00
WY,Carbon County School District #2,5601700,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,0.00,5.00,0.00,6.00,1.00,0.00,0.00
WY,Carbon County School District #2,5601700,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,1.00,0.00,0.00
WY,Carbon County School District #2,5601700,2015,Total enrollment,M,9.00,6.00,2.00,19.00,6.00,284.00,4.00,330.00,81.00,0.00,2.00
WY,Carbon County School District #2,5601700,2015,Total enrollment,F,10.00,2.00,0.00,22.00,4.00,284.00,6.00,328.00,44.00,0.00,0.00
WY,Niobrara County School District #1,5604230,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WY,Niobrara County School District #1,5604230,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WY,Niobrara County School District #1,5604230,2015,Total enrollment,M,6.00,4.00,6.00,30.00,6.00,458.00,4.00,514.00,72.00,6.00,0.00
WY,Niobrara County School District #1,5604230,2015,Total enrollment,F,18.00,2.00,4.00,30.00,4.00,446.00,2.00,506.00,63.00,6.00,0.00
WY,Big Horn County School District #4,5601090,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,6.00,0.00,7.00,0.00,13.00,5.00,0.00,0.00
WY,Big Horn County School District #4,5601090,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00
WY,Big Horn County School District #4,5601090,2015,Total enrollment,M,0.00,0.00,0.00,20.00,0.00,131.00,2.00,153.00,24.00,11.00,0.00
WY,Big Horn County School District #4,5601090,2015,Total enrollment,F,0.00,0.00,2.00,23.00,0.00,128.00,2.00,155.00,27.00,8.00,0.00
WY,Johnson County School District #1,5603770,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,2.00,0.00,0.00
WY,Johnson County School District #1,5603770,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00
WY,Johnson County School District #1,5603770,2015,Total enrollment,M,20.00,4.00,4.00,61.00,8.00,640.00,0.00,737.00,79.00,4.00,2.00
